t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.051000,0.202895,0.174192,0.000000,0.208723,0.000000,0.000000,0.977975,1.978504,-1.465331,0.000000,0.000000,0.000000,149.893787
0.051500,0.204874,0.172724,0.000000,0.134945,0.000000,0.000000,0.990853,1.978298,-1.469847,0.000000,0.000000,0.000000,149.892747
0.052000,0.206852,0.171252,0.000000,0.060410,0.000000,0.000000,0.998174,1.978091,-1.474362,0.000000,0.000000,0.000000,149.891706
0.052500,0.208830,0.169775,0.000000,-0.014463,0.000000,0.000000,0.999895,1.977885,-1.478877,0.000000,0.000000,0.000000,149.890665
0.053000,0.210808,0.168294,0.000000,-0.089255,0.000000,0.000000,0.996009,1.977678,-1.483390,0.000000,0.000000,0.000000,149.889624
0.053500,0.212785,0.166809,0.000000,-0.163545,0.000000,0.000000,0.986536,1.977472,-1.487902,0.000000,0.000000,0.000000,149.888583
0.054000,0.214763,0.165318,0.000000,-0.236918,0.000000,0.000000,0.971530,1.977265,-1.492413,0.000000,0.000000,0.000000,149.887542
0.054500,0.216740,0.163824,0.000000,-0.308961,0.000000,0.000000,0.951075,1.977059,-1.496923,0.000000,0.000000,0.000000,149.886501
0.055000,0.218717,0.162325,0.000000,-0.379271,0.000000,0.000000,0.925286,1.976853,-1.501433,0.000000,0.000000,0.000000,149.885460
0.055500,0.220694,0.160821,0.000000,-0.447454,0.000000,0.000000,0.894307,1.976646,-1.505941,0.000000,0.000000,0.000000,149.884419
0.056000,0.222670,0.159313,0.000000,-0.513126,0.000000,0.000000,0.858313,1.976440,-1.510448,0.000000,0.000000,0.000000,149.883378
0.056500,0.224647,0.157800,0.000000,-0.575920,0.000000,0.000000,0.817506,1.976234,-1.514955,0.000000,0.000000,0.000000,149.882338
0.057000,0.226623,0.156283,0.000000,-0.635484,0.000000,0.000000,0.772114,1.976028,-1.519460,0.000000,0.000000,0.000000,149.881297
0.057500,0.228599,0.154761,0.000000,-0.691483,0.000000,0.000000,0.722392,1.975822,-1.523965,0.000000,0.000000,0.000000,149.880256
0.058000,0.230574,0.153235,0.000000,-0.743605,0.000000,0.000000,0.668620,1.975616,-1.528468,0.000000,0.000000,0.000000,149.879215
0.058500,0.232550,0.151704,0.000000,-0.791555,0.000000,0.000000,0.611098,1.975410,-1.532971,0.000000,0.000000,0.000000,149.878174
0.059000,0.234525,0.150169,0.000000,-0.835066,0.000000,0.000000,0.550149,1.975204,-1.537472,0.000000,0.000000,0.000000,149.877133
0.059500,0.236500,0.148629,0.000000,-0.873894,0.000000,0.000000,0.486116,1.974998,-1.541973,0.000000,0.000000,0.000000,149.876093
0.060000,0.238475,0.147085,0.000000,-0.907821,0.000000,0.000000,0.419357,1.974792,-1.546472,0.000000,0.000000,0.000000,149.875052
0.060500,0.240450,0.145536,0.000000,-0.936657,0.000000,0.000000,0.350247,1.974586,-1.550971,0.000000,0.000000,0.000000,149.874011
0.061000,0.242424,0.143983,0.000000,-0.960241,0.000000,0.000000,0.279173,1.974380,-1.555468,0.000000,0.000000,0.000000,149.872970
0.061500,0.244399,0.142425,0.000000,-0.978439,0.000000,0.000000,0.206534,1.974175,-1.559965,0.000000,0.000000,0.000000,149.871929
0.062000,0.246373,0.140863,0.000000,-0.991151,0.000000,0.000000,0.132738,1.973969,-1.564461,0.000000,0.000000,0.000000,149.870889
0.062500,0.248346,0.139296,0.000000,-0.998305,0.000000,0.000000,0.058198,1.973763,-1.568955,0.000000,0.000000,0.000000,149.869848
0.063000,0.250320,0.137725,0.000000,-0.999861,0.000000,0.000000,-0.016668,1.973558,-1.573449,0.000000,0.000000,0.000000,149.868807
0.063500,0.252294,0.136150,0.000000,-0.995811,0.000000,0.000000,-0.091440,1.973352,-1.577941,0.000000,0.000000,0.000000,149.867766
