t,x,y,E
20220.0,4.88989573842437e8,-8.723008169196576e8,-3.3371499970283595e34
20280.0,5.024508723717392e8,-8.646166423832473e8,-3.337149997106673e34
20340.0,5.1579146084097695e8,-8.567247485022433e8,-3.337149997184283e34
20400.0,5.290081341233864e8,-8.48627031006032e8,-3.3371499972611708e34
20460.0,5.420977168559545e8,-8.403254350784e8,-3.3371499973373194e34
20520.0,5.550570642025222e8,-8.318219548903797e8,-3.3371499974127094e34
20580.0,5.678830626095575e8,-8.231186331213168e8,-3.337149997487324e34
20640.0,5.805726305544188e8,-8.142175604682769e8,-3.337149997561143e34
20700.0,5.931227192859256e8,-8.05120875143907e8,-3.3371499976341505e34
20760.0,6.05530313557061e8,-7.958307623628734e8,-3.337149997706328e34
20820.0,6.177924323496275e8,-7.863494538169994e8,-3.337149997777659e34
20880.0,6.299061295906842e8,-7.766792271392276e8,-3.3371499978481272e34
20940.0,6.418684948605901e8,-7.668224053565371e8,-3.3371499979177116e34
21000.0,6.536766540924857e8,-7.56781356331946e8,-3.3371499979864e34
21060.0,6.653277702630427e8,-7.465584921957334e8,-3.3371499980541746e34
21120.0,6.76819044074317e8,-7.361562687660172e8,-3.3371499981210178e34
21180.0,6.881477146265396e8,-7.255771849588274e8,-3.3371499981869165e34
21240.0,6.99311060081685e8,-7.148237821878164e8,-3.337149998251852e34
21300.0,7.103063983176552e8,-7.038986437537497e8,-3.33714999831581e34
21360.0,7.211310875729246e8,-6.92804394223925e8,-3.3371499983787727e34
21420.0,7.317825270814883e8,-6.815436988016678e8,-3.3371499984407294e34
21480.0,7.422581576979616e8,-6.701192626860554e8,-3.337149998501661e34
21540.0,7.525554625126815e8,-6.585338304220227e8,-3.3371499985615555e34
21600.0,7.626719674566604e8,-6.467901852410064e8,-3.3371499986203974e34
21660.0,7.726052418962473e8,-6.348911483922856e8,-3.337149998678173e34
21720.0,7.823528992173529e8,-6.228395784651804e8,-3.3371499987348687e34
21780.0,7.919125973990986e8,-6.106383707022699e8,-3.33714999879047e34
21840.0,8.012820395767508e8,-5.982904563037955e8,-3.337149998844964e34
21900.0,8.104589745938041e8,-5.857988017234169e8,-3.337149998898336e34
21960.0,8.194411975430837e8,-5.731664079554902e8,-3.337149998950578e34
22020.0,8.282265502967317e8,-5.603963098140376e8,-3.3371499990016713e34
22080.0,8.368129220249546e8,-5.474915752035842e8,-3.337149999051608e34
