t,θ1,ω1,θ2,ω2
4.4000,-0.674172,2.472238,-0.481053,-0.611949
4.4100,-0.649023,2.556885,-0.487422,-0.660752
4.4200,-0.623052,2.636337,-0.494246,-0.702878
4.4300,-0.596316,2.709715,-0.501452,-0.736920
4.4400,-0.568881,2.776159,-0.508953,-0.761499
4.4500,-0.540819,2.834880,-0.516647,-0.775340
4.4600,-0.512211,2.885206,-0.524420,-0.777357
4.4700,-0.483144,2.926637,-0.532151,-0.766728
4.4800,-0.453709,2.958875,-0.539711,-0.742948
4.4900,-0.423998,2.981847,-0.546966,-0.705865
4.5000,-0.394102,2.995700,-0.553784,-0.655679
4.5100,-0.364113,3.000776,-0.560038,-0.592912
4.5200,-0.334115,2.997578,-0.565603,-0.518353
4.5300,-0.304187,2.986719,-0.570369,-0.432995
4.5400,-0.274403,2.968871,-0.574231,-0.337955
4.5500,-0.244831,2.944722,-0.577099,-0.234410
4.5600,-0.215528,2.914935,-0.578895,-0.123539
4.5700,-0.186549,2.880123,-0.579550,-0.006476
4.5800,-0.157940,2.840826,-0.579007,0.115719
4.5900,-0.129745,2.797506,-0.577221,0.242078
4.6000,-0.102002,2.750544,-0.574155,0.371733
4.6100,-0.074746,2.700241,-0.569778,0.503918
4.6200,-0.048008,2.646828,-0.564070,0.637963
4.6300,-0.021819,2.590472,-0.557015,0.773288
4.6400,0.003792,2.531285,-0.548602,0.909392
4.6500,0.028798,2.469338,-0.538826,1.045849
4.6600,0.053170,2.404662,-0.527685,1.182293
4.6700,0.076882,2.337266,-0.515181,1.318418
4.6800,0.099906,2.267138,-0.501318,1.453965
4.6900,0.122215,2.194252,-0.486104,1.588720
4.7000,0.143782,2.118578,-0.469547,1.722507
4.7100,0.164577,2.040085,-0.451658,1.855185
4.7200,0.184574,1.958744,-0.432448,1.986645
4.7300,0.203743,1.874537,-0.411929,2.116804
4.7400,0.222055,1.787456,-0.390116,2.245606
4.7500,0.239482,1.697511,-0.367022,2.373012
4.7600,0.255996,1.604731,-0.342661,2.499001
4.7700,0.271568,1.509173,-0.317047,2.623559
4.7800,0.286170,1.410922,-0.290194,2.746678
4.7900,0.299778,1.310101,-0.262118,2.868342
